# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
304449,1,1,1300,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/1300
304446,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
304446,34,1,1300,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/1300
304451,1,8,280,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/280
303595,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
303595,16,9,140,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/140
303601,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
303601,10,9,140,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/140
303600,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
303832,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
303832,9,1,1300,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/1300
303832,63,5,700,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/700
303832,144,6,580,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/580
303832,1079,7,430,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/430
303832,1594,8,280,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/280
304062,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
304062,53,9,140,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/140
304062,56,7,430,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/430
304062,58,5,700,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/700
304062,61,9,140,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/140
304062,63,4,820,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/820
304062,64,3,980,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/980
304062,127,4,820,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/820
304062,145,5,700,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/700
304062,377,6,580,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/580
304062,1181,7,430,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/430
304062,1914,8,280,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/280
304119,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
304119,7,2,1100,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/1100
304119,56,3,980,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/980
304119,62,2,1100,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/1100
304125,1,5,700,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/700
304125,261,6,580,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/580
304125,893,7,430,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/430
304125,1603,8,280,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/280
304120,1,2,1100,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/1100
304120,40,3,980,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/980
304120,95,4,820,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/820
304120,111,3,980,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/980
304120,169,4,820,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/820
304120,235,5,700,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/700
304452,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
304776,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
304776,16,10,1300,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/1300
304776,20,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
304776,48,10,1300,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/1300
148844,1,3,1,HLT_Mu19_v1/1,ONE,L1_SingleMu7/1
148860,1,1,1,HLT_Mu19_v1/1,ONE,L1_SingleMu7/1
148862,1,0,1,HLT_Mu19_v1/1,ONE,L1_SingleMu7/1
302486,1,7,430,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/430
302492,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
302492,10,7,430,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/430
302494,1,7,430,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/430
302494,183,8,280,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/280
302487,1,7,430,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/430
302488,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
302489,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
302484,1,5,700,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/700
302484,32,6,580,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/580
302485,1,6,580,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/580
302485,579,7,430,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/430
302493,None,None,1,HLT_Mu19_v1,ONE,L1_SingleMu10_LowQ
302490,1,7,430,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/430
302491,1,7,430,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/430
302567,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
302567,5,6,580,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/580
302566,1,6,580,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/580
302569,None,None,1,HLT_Mu19_v1,ONE,L1_SingleMu10_LowQ
302564,1,6,580,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/580
302563,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
302563,40,5,700,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/700
302563,45,6,580,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/580
302565,1,6,580,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/580
302572,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
302572,6,6,580,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/580
302570,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
302570,2,6,580,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/580
302571,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
302571,2,6,580,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/580
302573,1,6,580,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/580
302573,78,7,430,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/430
302573,980,6,580,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/580
302573,1030,8,280,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/280
303825,1,7,430,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/430
303825,77,8,280,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/280
303824,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
303824,30,9,140,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/140
303824,51,13,700,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/700
