# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
260478,1,2,125,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/262139 L1_SingleMu7/125
272612,1,0,0,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/0 L1_SingleMu5/0
272617,1,0,0,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/0 L1_SingleMu5/0
272674,1,0,0,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/0 L1_SingleMu5/0
272674,21,11,1,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/1 L1_SingleMu5/1
272761,1,11,1,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/1 L1_SingleMu5/1
251161,1,10,0,HLT_Mu7p5_Track3p5_Jpsi_v2/0,ONE,L1_SingleMu5/65537
251167,1,7,17,HLT_Mu7p5_Track3p5_Jpsi_v2/1,ONE,L1_SingleMu5/17
251252,1,7,17,HLT_Mu7p5_Track3p5_Jpsi_v2/1,ONE,L1_SingleMu5/17
251493,1,10,0,HLT_Mu7p5_Track3p5_Jpsi_v2/0,ONE,L1_SingleMu5/65537
251493,6,6,13,HLT_Mu7p5_Track3p5_Jpsi_v2/1,ONE,L1_SingleMu5/13
251499,1,6,13,HLT_Mu7p5_Track3p5_Jpsi_v2/1,ONE,L1_SingleMu5/13
251521,1,6,13,HLT_Mu7p5_Track3p5_Jpsi_v2/1,ONE,L1_SingleMu5/13
251548,1,10,0,HLT_Mu7p5_Track3p5_Jpsi_v2/0,ONE,L1_SingleMu5/65537
251548,28,6,13,HLT_Mu7p5_Track3p5_Jpsi_v2/1,ONE,L1_SingleMu5/13
254280,1,11,1,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/1 L1_SingleMu5/1
254283,5,1,50000,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/50000 L1_SingleMu7/262139
254283,9,11,1,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/1 L1_SingleMu5/10
254284,43,11,1,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/1 L1_SingleMu5/10
254437,1,1,262139,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/262139 L1_SingleMu7/262139
254437,4,12,262139,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/262139 L1_SingleMu5/262139
254437,54,9,4800,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/4800 L1_SingleMu7/6000
254437,65,8,8000,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/9000 L1_SingleMu5/8000
