# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
254790,1,1,120000,HLT_Mu17_v2/40,ONE,L1_SingleMu12/3000
254790,3,7,4,HLT_Mu17_v2/1,ONE,L1_SingleMu12/4
254833,1,1,120000,HLT_Mu17_v2/40,ONE,L1_SingleMu12/3000
254833,126,6,5,HLT_Mu17_v2/1,ONE,L1_SingleMu12/5
254833,317,7,4,HLT_Mu17_v2/1,ONE,L1_SingleMu12/4
254879,1,1,120000,HLT_Mu17_v2/40,ONE,L1_SingleMu12/3000
254879,33,7,4,HLT_Mu17_v2/1,ONE,L1_SingleMu12/4
254905,1,1,120000,HLT_Mu17_v2/40,ONE,L1_SingleMu12/3000
254905,39,6,5,HLT_Mu17_v2/1,ONE,L1_SingleMu12/5
254906,1,6,5,HLT_Mu17_v2/1,ONE,L1_SingleMu12/5
254913,1,1,120000,HLT_Mu17_v2/40,ONE,L1_SingleMu12/3000
254914,6,1,120000,HLT_Mu17_v2/40,ONE,L1_SingleMu12/3000
256674,1,5,250,HLT_Mu17_v2/25,ONE,L1_SingleMu12/10
257461,1,1,3900000,HLT_Mu17_v2/1300,ONE,L1_SingleMu12/3000
257461,35,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
257461,38,4,18,HLT_Mu17_v2/1,ONE,L1_SingleMu12/18
257461,69,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
257804,1,6,5,HLT_Mu17_v2/1,ONE,L1_SingleMu12/5
257804,6,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
257816,1,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
258159,1,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
258312,1,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
258313,1,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
258319,1,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
259464,1,10,1,HLT_Mu17_v2/1,ONE,L1_SingleMu12/1
259453,1,10,1,HLT_Mu17_v2/1,ONE,L1_SingleMu12/1
259456,1,10,1,HLT_Mu17_v2/1,ONE,L1_SingleMu12/1
259457,1,10,1,HLT_Mu17_v2/1,ONE,L1_SingleMu12/1
259458,1,10,1,HLT_Mu17_v2/1,ONE,L1_SingleMu12/1
260627,1,1,3900000,HLT_Mu17_v2/1300,ONE,L1_SingleMu12/3000
260627,4,4,18,HLT_Mu17_v2/1,ONE,L1_SingleMu12/18
260627,108,3,70,HLT_Mu17_v2/1,ONE,L1_SingleMu12/70
260627,128,4,18,HLT_Mu17_v2/1,ONE,L1_SingleMu12/18
260627,213,3,70,HLT_Mu17_v2/1,ONE,L1_SingleMu12/70
260627,575,4,18,HLT_Mu17_v2/1,ONE,L1_SingleMu12/18
253946,1,11,40,HLT_Mu17_v2/1,ONE,L1_SingleMu12/40
253952,1,11,40,HLT_Mu17_v2/1,ONE,L1_SingleMu12/40
254229,6,1,120000,HLT_Mu17_v2/40,ONE,L1_SingleMu12/3000
254380,8,1,120000,HLT_Mu17_v2/40,ONE,L1_SingleMu12/3000
254380,9,9,80,HLT_Mu17_v2/1,ONE,L1_SingleMu12/80
254415,1,1,262139,HLT_Mu17_v2/1,ONE,L1_SingleMu12/262139
254416,1,12,262139,HLT_Mu17_v2/1,ONE,L1_SingleMu12/262139
254416,40,8,36000,HLT_Mu17_v2/15,ONE,L1_SingleMu12/2400
254608,1,7,64000,HLT_Mu17_v2/20,ONE,L1_SingleMu12/3200
254608,515,8,36000,HLT_Mu17_v2/15,ONE,L1_SingleMu12/2400
254608,656,9,16000,HLT_Mu17_v2/10,ONE,L1_SingleMu12/1600
257612,1,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
257613,1,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
260478,1,2,70,HLT_Mu17_v2/1,ONE,L1_SingleMu12/70
272612,1,0,0,HLT_Mu17_v2/1,ONE,L1_SingleMu10_LowQ/0
272617,1,0,0,HLT_Mu17_v2/1300,ONE,L1_SingleMu10_LowQ/0
272674,1,0,0,HLT_Mu17_v2/1300,ONE,L1_SingleMu10_LowQ/0
272674,21,11,2,HLT_Mu17_v2/2,ONE,L1_SingleMu10_LowQ/1
272761,1,11,2,HLT_Mu17_v2/2,ONE,L1_SingleMu10_LowQ/1
251161,1,10,0,HLT_Mu17_v1/0,ONE,L1_SingleMu12/65537
251167,1,7,1000,HLT_Mu17_v1/1,ONE,L1_SingleMu12/1000
251252,1,7,1000,HLT_Mu17_v1/1,ONE,L1_SingleMu12/1000
251493,1,10,0,HLT_Mu17_v1/0,ONE,L1_SingleMu12/65537
251493,6,6,11,HLT_Mu17_v1/1,ONE,L1_SingleMu12/11
251499,1,6,11,HLT_Mu17_v1/1,ONE,L1_SingleMu12/11
251521,1,6,11,HLT_Mu17_v1/1,ONE,L1_SingleMu12/11
251548,1,10,0,HLT_Mu17_v1/0,ONE,L1_SingleMu12/65537
251548,28,6,11,HLT_Mu17_v1/1,ONE,L1_SingleMu12/11
254280,1,11,1,HLT_Mu17_v2/1,ONE,L1_SingleMu12/1
254283,5,1,120000,HLT_Mu17_v2/40,ONE,L1_SingleMu12/3000
254283,9,11,40,HLT_Mu17_v2/1,ONE,L1_SingleMu12/40
254284,43,11,40,HLT_Mu17_v2/1,ONE,L1_SingleMu12/40
254437,1,1,52427800,HLT_Mu17_v2/200,ONE,L1_SingleMu12/262139
254437,4,12,262139,HLT_Mu17_v2/1,ONE,L1_SingleMu12/262139
254437,54,9,16000,HLT_Mu17_v2/10,ONE,L1_SingleMu12/1600
254437,65,8,36000,HLT_Mu17_v2/15,ONE,L1_SingleMu12/2400
254450,1,8,36000,HLT_Mu17_v2/15,ONE,L1_SingleMu12/2400
254458,1,8,36000,HLT_Mu17_v2/15,ONE,L1_SingleMu12/2400
256730,1,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
257487,1,1,3900000,HLT_Mu17_v2/1300,ONE,L1_SingleMu12/3000
257487,13,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
257821,1,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
257968,1,1,3900000,HLT_Mu17_v2/1300,ONE,L1_SingleMu12/3000
257968,7,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
257968,11,1,3900000,HLT_Mu17_v2/1300,ONE,L1_SingleMu12/3000
257968,12,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
258129,1,1,3900000,HLT_Mu17_v2/1300,ONE,L1_SingleMu12/3000
258129,17,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
258152,1,0,3900000,HLT_Mu17_v2/1300,ONE,L1_SingleMu12/3000
258155,1,1,3900000,HLT_Mu17_v2/1300,ONE,L1_SingleMu12/3000
258155,14,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
258156,1,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
258157,1,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
258210,1,1,3000,HLT_Mu17_v2/1,ONE,L1_SingleMu12/3000
258213,1,1,3900000,HLT_Mu17_v2/1300,ONE,L1_SingleMu12/3000
258213,12,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
258287,1,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
258434,1,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
258432,1,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
258440,1,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
258442,1,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
258443,1,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
258444,1,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
258446,1,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
258448,1,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
258656,1,4,18,HLT_Mu17_v2/1,ONE,L1_SingleMu12/18
258656,70,5,10,HLT_Mu17_v2/1,ONE,L1_SingleMu12/10
258690,1,4,18,HLT_Mu17_v2/1,ONE,L1_SingleMu12/18
259721,1,6,5,HLT_Mu17_v2/1,ONE,L1_SingleMu12/5
272760,1,0,0,HLT_Mu17_v2/1300,ONE,L1_SingleMu10_LowQ/0
272760,11,11,2,HLT_Mu17_v2/2,ONE,L1_SingleMu10_LowQ/1
272774,1,0,0,HLT_Mu17_v2/1300,ONE,L1_SingleMu10_LowQ/0
