# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
254790,1,1,1834973,HLT_Mu8_v2/7,ONE,L1_SingleMu5/262139
254790,3,7,20000,HLT_Mu8_v2/2000,ONE,L1_SingleMu5/10
254833,1,1,1834973,HLT_Mu8_v2/7,ONE,L1_SingleMu5/262139
254833,126,6,28000,HLT_Mu8_v2/1400,ONE,L1_SingleMu5/20
254833,317,7,20000,HLT_Mu8_v2/2000,ONE,L1_SingleMu5/10
254879,1,1,1834973,HLT_Mu8_v2/7,ONE,L1_SingleMu5/262139
254879,33,7,20000,HLT_Mu8_v2/2000,ONE,L1_SingleMu5/10
254905,1,1,1834973,HLT_Mu8_v2/7,ONE,L1_SingleMu5/262139
254905,39,6,28000,HLT_Mu8_v2/1400,ONE,L1_SingleMu5/20
254906,1,6,28000,HLT_Mu8_v2/1400,ONE,L1_SingleMu5/20
254913,1,1,1834973,HLT_Mu8_v2/7,ONE,L1_SingleMu5/262139
254914,6,1,1834973,HLT_Mu8_v2/7,ONE,L1_SingleMu5/262139
256674,1,5,12000,HLT_Mu8_v3/300,OR,L1_SingleMu7/50 L1_SingleMu5/40
257461,1,1,500,HLT_Mu8_v3/2,OR,L1_SingleMu5/262139 L1_SingleMu7/250
257461,35,5,12000,HLT_Mu8_v3/300,OR,L1_SingleMu7/50 L1_SingleMu5/40
257461,38,4,22500,HLT_Mu8_v3/300,OR,L1_SingleMu7/75 L1_SingleMu5/75
257461,69,5,12000,HLT_Mu8_v3/300,OR,L1_SingleMu7/50 L1_SingleMu5/40
257804,1,6,6000,HLT_Mu8_v3/300,OR,L1_SingleMu5/20 L1_SingleMu7/25
257804,6,5,12000,HLT_Mu8_v3/300,OR,L1_SingleMu7/50 L1_SingleMu5/40
257816,1,5,12000,HLT_Mu8_v3/300,OR,L1_SingleMu7/50 L1_SingleMu5/40
258159,1,5,2400,HLT_Mu8_v3/60,OR,L1_SingleMu7/50 L1_SingleMu5/40
258312,1,5,2400,HLT_Mu8_v3/60,OR,L1_SingleMu7/50 L1_SingleMu5/40
258313,1,5,2400,HLT_Mu8_v3/60,OR,L1_SingleMu7/50 L1_SingleMu5/40
258319,1,5,40,HLT_Mu8_v3/1,OR,L1_SingleMu7/50 L1_SingleMu5/40
259464,1,10,220,HLT_Mu8_v3/110,OR,L1_SingleMu5/2 L1_SingleMu7/3
259453,1,10,2,HLT_Mu8_v3/1,OR,L1_SingleMu5/2 L1_SingleMu7/3
259456,1,10,2,HLT_Mu8_v3/1,OR,L1_SingleMu5/2 L1_SingleMu7/3
259457,1,10,220,HLT_Mu8_v3/110,OR,L1_SingleMu5/2 L1_SingleMu7/3
259458,1,10,220,HLT_Mu8_v3/110,OR,L1_SingleMu5/2 L1_SingleMu7/3
260627,1,1,15000,HLT_Mu8_v3/60,OR,L1_SingleMu5/262139 L1_SingleMu7/250
260627,4,4,4500,HLT_Mu8_v3/60,OR,L1_SingleMu7/75 L1_SingleMu5/75
260627,108,3,7500,HLT_Mu8_v3/60,OR,L1_SingleMu7/125 L1_SingleMu5/262139
260627,128,4,4500,HLT_Mu8_v3/60,OR,L1_SingleMu7/75 L1_SingleMu5/75
260627,213,3,7500,HLT_Mu8_v3/60,OR,L1_SingleMu7/125 L1_SingleMu5/262139
260627,575,4,4500,HLT_Mu8_v3/60,OR,L1_SingleMu7/75 L1_SingleMu5/75
